DATE,TAVG,HDDi,HDDs
2019/1/1,-6.5,24.5,24.5
2019/1/2,-6.75,24.75,49.25
2019/1/3,-5.625,23.625,72.875
2019/1/4,-3.375,21.375,94.25
2019/1/5,-6.5,24.5,118.75
2019/1/6,-8.125,26.125,144.875
2019/1/7,-2.75,20.75,165.625
2019/1/8,-8,26.0,191.625
2019/1/9,-7.875,25.875,217.5
2019/1/10,-3.875,21.875,239.375
2019/1/11,-3.5,21.5,260.875
2019/1/12,-4.5,22.5,283.375
2019/1/13,-2.625,20.625,304.0
2019/1/14,-2,20.0,324.0
2019/1/15,-6.75,24.75,348.75
2019/1/16,-5.25,23.25,372.0
2019/1/17,-2.25,20.25,392.25
2019/1/18,0.375,17.625,409.875
2019/1/19,1.5,16.5,426.375
2019/1/20,3.375,14.625,441.0
2019/1/21,5.875,12.125,453.125
2019/1/22,3.875,14.125,467.25
2019/1/23,3.625,14.375,481.625
2019/1/24,0.125,17.875,499.5
2019/1/25,-0.125,18.125,517.625
2019/1/26,-1.5,19.5,537.125
2019/1/27,2.375,15.625,552.75
2019/1/28,0.5,17.5,570.25
2019/1/29,-0.5,18.5,588.75
2019/1/30,-2.125,20.125,608.875
2019/1/31,-6.625,24.625,633.5
2019/2/1,-4.625,22.625,656.125
2019/2/2,-1,19.0,675.125
2019/2/3,1.375,16.625,691.75
2019/2/4,-3.375,21.375,713.125
2019/2/5,-1.625,19.625,732.75
2019/2/6,-5.375,23.375,756.125
2019/2/7,-8.5,26.5,782.625
2019/2/8,-6.375,24.375,807.0
2019/2/9,-7.125,25.125,832.125
2019/2/10,-7.75,25.75,857.875
2019/2/11,-2.125,20.125,878.0
2019/2/12,-6.75,24.75,902.75
2019/2/13,-4.25,22.25,925.0
2019/2/14,-5.5,23.5,948.5
2019/2/15,-4.75,22.75,971.25
2019/2/16,-2.75,20.75,992.0
2019/2/17,1.75,16.25,1008.25
2019/2/18,1.75,16.25,1024.5
2019/2/19,1.625,16.375,1040.875
2019/2/20,2.25,15.75,1056.625
2019/2/21,4.5,13.5,1070.125
2019/2/22,4.625,13.375,1083.5
2019/2/23,6.5,11.5,1095.0
2019/2/24,7,11.0,1106.0
2019/2/25,6,12.0,1118.0
2019/2/26,4.875,13.125,1131.125
2019/2/27,6.75,11.25,1142.375
2019/2/28,7.75,10.25,1152.625
2019/3/1,7.75,10.25,1162.875
2019/3/2,9.125,8.875,1171.75
2019/3/3,8.5,9.5,1181.25
2019/3/4,13.875,4.125,1185.375
2019/3/5,14.125,3.875,1189.25
2019/3/6,6.125,11.875,1201.125
2019/3/7,7.125,10.875,1212.0
2019/3/8,9.75,8.25,1220.25
2019/3/9,9.25,8.75,1229.0
2019/3/10,8.125,9.875,1238.875
2019/3/11,11.625,6.375,1245.25
2019/3/12,9.75,8.25,1253.5
2019/3/13,11.75,6.25,1259.75
2019/3/14,13.25,4.75,1264.5
2019/3/15,9.5,8.5,1273.0
2019/3/16,12.125,5.875,1278.875
2019/3/17,15.875,2.125,1281.0
2019/3/18,15.75,2.25,1283.25
2019/3/19,23,0,1283.25
2019/3/20,16.375,1.625,1284.875
2019/3/21,7.875,10.125,1295.0
2019/3/22,11.25,6.75,1301.75
2019/3/23,9.5,8.5,1310.25
2019/3/24,14,4.0,1314.25
2019/3/25,18.375,0,1314.25
2019/3/26,14.25,3.75,1318.0
2019/3/27,16.125,1.875,1319.875
2019/3/28,7.375,10.625,1330.5
2019/3/29,10,8.0,1338.5
2019/3/30,8.125,9.875,1348.375
2019/3/31,12,6.0,1354.375
2019/4/1,13.875,4.125,1358.5
2019/4/2,13.875,4.125,1362.625
2019/4/3,14.75,3.25,1365.875
2019/4/4,23.75,0,1365.875
2019/4/5,16.375,1.625,1367.5
2019/4/6,16.75,1.25,1368.75
2019/4/7,15.25,2.75,1371.5
2019/4/8,15.375,2.625,1374.125
2019/4/9,7.875,10.125,1384.25
2019/4/10,18,0,1384.25
2019/4/11,16.625,1.375,1385.625
2019/4/12,19.75,0,1385.625
2019/4/13,20.375,0,1385.625
2019/4/14,21.125,0,1385.625
2019/4/15,24.75,0,1385.625
2019/4/16,23.5,0,1385.625
2019/4/17,27.25,0,1385.625
2019/4/18,20.25,0,1385.625
2019/4/19,17.5,0.5,1386.125
2019/4/20,13.625,4.375,1390.5
2019/4/21,18.875,0,1390.5
2019/4/22,23.875,0,1390.5
2019/4/23,26.625,0,1390.5
2019/4/24,11.625,6.375,1396.875
2019/4/25,16.75,1.25,1398.125
2019/4/26,18.625,0,1398.125
2019/4/27,12.75,5.25,1403.375
2019/4/28,16.5,1.5,1404.875
2019/4/29,19.875,0,1404.875
2019/4/30,23,0,1404.875
2019/5/1,26.75,0,1404.875
2019/5/2,28.375,0,1404.875
2019/5/3,28.875,0,1404.875
2019/5/4,27.5,0,1404.875
2019/5/5,19.875,0,1404.875
2019/5/6,23.375,0,1404.875
2019/5/7,27.375,0,1404.875
2019/5/8,23.625,0,1404.875
2019/5/9,27.25,0,1404.875
2019/5/10,28.375,0,1404.875
2019/5/11,28.5,0,1404.875
2019/5/12,19,0,1404.875
2019/5/13,22.75,0,1404.875
2019/5/14,25.875,0,1404.875
2019/5/15,28.75,0,1404.875
2019/5/16,32.75,0,1404.875
2019/5/17,29.125,0,1404.875
2019/5/18,24.75,0,1404.875
2019/5/19,22.75,0,1404.875
2019/5/20,24.5,0,1404.875
2019/5/21,27.875,0,1404.875
2019/5/22,31.375,0,1404.875
2019/5/23,34.25,0,1404.875
2019/5/24,32.5,0,1404.875
2019/5/25,35.75,0,1404.875
2019/5/26,25.125,0,1404.875
2019/5/27,28.375,0,1404.875
2019/5/28,31,0,1404.875
2019/5/29,33.5,0,1404.875
2019/5/30,30.375,0,1404.875
2019/5/31,31.625,0,1404.875
2019/6/1,29.375,0,1404.875
2019/6/2,31,0,1404.875
2019/6/3,31.5,0,1404.875
2019/6/4,27.5,0,1404.875
2019/6/5,30.75,0,1404.875
2019/6/6,26.625,0,1404.875
2019/6/7,30.875,0,1404.875
2019/6/8,35,0,1404.875
2019/6/9,31.5,0,1404.875
2019/6/10,32.25,0,1404.875
2019/6/11,32,0,1404.875
2019/6/12,34.625,0,1404.875
2019/6/13,32.625,0,1404.875
2019/6/14,35.375,0,1404.875
2019/6/15,32.625,0,1404.875
2019/6/16,24.375,0,1404.875
2019/6/17,28.125,0,1404.875
2019/6/18,33.25,0,1404.875
2019/6/19,33.25,0,1404.875
2019/6/20,35.625,0,1404.875
2019/6/21,31.875,0,1404.875
2019/6/22,37.375,0,1404.875
2019/6/23,35.75,0,1404.875
2019/6/24,38.625,0,1404.875
2019/6/25,36.75,0,1404.875
2019/6/26,34.125,0,1404.875
2019/6/27,36.125,0,1404.875
2019/6/28,34.125,0,1404.875
2019/6/29,37,0,1404.875
2019/6/30,33.25,0,1404.875
