DATE,TAVG,HDDi,HDDs
2020/1/1,-8.125,26.125,26.125
2020/1/2,-3.375,21.375,47.5
2020/1/3,-1.75,19.75,67.25
2020/1/4,0.25,17.75,85.0
2020/1/5,0,18.0,103.0
2020/1/6,0.625,17.375,120.375
2020/1/7,0,18.0,138.375
2020/1/8,-2.5,20.5,158.875
2020/1/9,-3.75,21.75,180.625
2020/1/10,0.625,17.375,198.0
2020/1/11,-3.375,21.375,219.375
2020/1/12,-4.5,22.5,241.875
2020/1/13,-4.125,22.125,264.0
2020/1/14,-7.375,25.375,289.375
2020/1/15,-4,22.0,311.375
2020/1/16,-4.875,22.875,334.25
2020/1/17,-4,22.0,356.25
2020/1/18,-4,22.0,378.25
2020/1/19,2.125,15.875,394.125
2020/1/20,-2.25,20.25,414.375
2020/1/21,-2.875,20.875,435.25
2020/1/22,-2.875,20.875,456.125
2020/1/23,0.125,17.875,474.0
2020/1/24,-3.375,21.375,495.375
2020/1/25,-3,21.0,516.375
2020/1/26,-2.5,20.5,536.875
2020/1/27,-0.125,18.125,555.0
2020/1/28,0.75,17.25,572.25
2020/1/29,-0.375,18.375,590.625
2020/1/30,-1.375,19.375,610.0
2020/1/31,2.875,15.125,625.125
2020/2/1,2,16.0,641.125
2020/2/2,-3.5,21.5,662.625
2020/2/3,-3.25,21.25,683.875
2020/2/4,-5.125,23.125,707.0
2020/2/5,-7.5,25.5,732.5
2020/2/6,-7.625,25.625,758.125
2020/2/7,-5.5,23.5,781.625
2020/2/8,-0.75,18.75,800.375
2020/2/9,-0.625,18.625,819.0
2020/2/10,2.25,15.75,834.75
2020/2/11,2.625,15.375,850.125
2020/2/12,3.5,14.5,864.625
2020/2/13,7,11.0,875.625
2020/2/14,-1.75,19.75,895.375
2020/2/15,-3.875,21.875,917.25
2020/2/16,-0.125,18.125,935.375
2020/2/17,0.75,17.25,952.625
2020/2/18,3.5,14.5,967.125
2020/2/19,3.5,14.5,981.625
2020/2/20,1.625,16.375,998.0
2020/2/21,5.5,12.5,1010.5
2020/2/22,4.25,13.75,1024.25
2020/2/23,4,14.0,1038.25
2020/2/24,7.375,10.625,1048.875
2020/2/25,7.625,10.375,1059.25
2020/2/26,5.25,12.75,1072.0
2020/2/27,2.875,15.125,1087.125
2020/2/28,4.875,13.125,1100.25
2020/2/29,3.5,14.5,1114.75
2020/3/1,3.625,14.375,1129.125
2020/3/2,4.375,13.625,1142.75
2020/3/3,2.125,15.875,1158.625
2020/3/4,1.375,16.625,1175.25
2020/3/5,3.5,14.5,1189.75
2020/3/6,6.25,11.75,1201.5
2020/3/7,11.125,6.875,1208.375
2020/3/8,6.125,11.875,1220.25
2020/3/9,6.625,11.375,1231.625
2020/3/10,5.25,12.75,1244.375
2020/3/11,8.125,9.875,1254.25
2020/3/12,10.5,7.5,1261.75
2020/3/13,7.25,10.75,1272.5
2020/3/14,11,7.0,1279.5
2020/3/15,11.25,6.75,1286.25
2020/3/16,6.125,11.875,1298.125
2020/3/17,16,2.0,1300.125
2020/3/18,16.75,1.25,1301.375
2020/3/19,13.875,4.125,1305.5
2020/3/20,20.125,0,1305.5
2020/3/21,14,4.0,1309.5
2020/3/22,15.25,2.75,1312.25
2020/3/23,15.875,2.125,1314.375
2020/3/24,17.125,0.875,1315.25
2020/3/25,19.75,0,1315.25
2020/3/26,8.5,9.5,1324.75
2020/3/27,7.5,10.5,1335.25
2020/3/28,9.25,8.75,1344.0
2020/3/29,12.375,5.625,1349.625
2020/3/30,15.625,2.375,1352.0
2020/3/31,17,1.0,1353.0
2020/4/1,12.5,5.5,1358.5
2020/4/2,16.125,1.875,1360.375
2020/4/3,23.375,0,1360.375
2020/4/4,14.625,3.375,1363.75
2020/4/5,14.875,3.125,1366.875
2020/4/6,19.75,0,1366.875
2020/4/7,14.875,3.125,1370.0
2020/4/8,14.75,3.25,1373.25
2020/4/9,12.375,5.625,1378.875
2020/4/10,14.5,3.5,1382.375
2020/4/11,19.625,0,1382.375
2020/4/12,20.125,0,1382.375
2020/4/13,20.375,0,1382.375
2020/4/14,23.625,0,1382.375
2020/4/15,21.875,0,1382.375
2020/4/16,17.625,0.375,1382.75
2020/4/17,18.75,0,1382.75
2020/4/18,22,0,1382.75
2020/4/19,19.625,0,1382.75
2020/4/20,13.25,4.75,1387.5
2020/4/21,11.75,6.25,1393.75
2020/4/22,14,4.0,1397.75
2020/4/23,17.375,0.625,1398.375
2020/4/24,27.625,0,1398.375
2020/4/25,18.375,0,1398.375
2020/4/26,18.625,0,1398.375
2020/4/27,19.875,0,1398.375
2020/4/28,26.75,0,1398.375
2020/4/29,26.125,0,1398.375
2020/4/30,30.875,0,1398.375
2020/5/1,33.875,0,1398.375
2020/5/2,31.875,0,1398.375
2020/5/3,25.75,0,1398.375
2020/5/4,18,0,1398.375
2020/5/5,23.375,0,1398.375
2020/5/6,25.375,0,1398.375
2020/5/7,20.875,0,1398.375
2020/5/8,17.375,0.625,1399.0
2020/5/9,19.875,0,1399.0
2020/5/10,26,0,1399.0
2020/5/11,28.5,0,1399.0
2020/5/12,24,0,1399.0
2020/5/13,30.125,0,1399.0
2020/5/14,29.75,0,1399.0
2020/5/15,23.125,0,1399.0
2020/5/16,19.125,0,1399.0
2020/5/17,19.625,0,1399.0
2020/5/18,26.375,0,1399.0
2020/5/19,29.625,0,1399.0
2020/5/20,30.25,0,1399.0
2020/5/21,22.875,0,1399.0
2020/5/22,28,0,1399.0
2020/5/23,25.375,0,1399.0
2020/5/24,29.75,0,1399.0
2020/5/25,23,0,1399.0
2020/5/26,31,0,1399.0
2020/5/27,28.125,0,1399.0
2020/5/28,31.125,0,1399.0
2020/5/29,29.625,0,1399.0
2020/5/30,28.375,0,1399.0
2020/5/31,23.875,0,1399.0
2020/6/1,27.5,0,1399.0
2020/6/2,31.125,0,1399.0
2020/6/3,34.25,0,1399.0
2020/6/4,31.125,0,1399.0
2020/6/5,29.5,0,1399.0
2020/6/6,30.875,0,1399.0
2020/6/7,35.125,0,1399.0
2020/6/8,38.625,0,1399.0
2020/6/9,30.875,0,1399.0
2020/6/10,33,0,1399.0
2020/6/11,31.5,0,1399.0
2020/6/12,35,0,1399.0
2020/6/13,34.875,0,1399.0
2020/6/14,36,0,1399.0
2020/6/15,37.625,0,1399.0
2020/6/16,36.5,0,1399.0
2020/6/17,33.375,0,1399.0
2020/6/18,30.75,0,1399.0
2020/6/19,35.375,0,1399.0
2020/6/20,36.375,0,1399.0
2020/6/21,37.625,0,1399.0
2020/6/22,35.5,0,1399.0
2020/6/23,31.625,0,1399.0
2020/6/24,30.375,0,1399.0
2020/6/25,27.75,0,1399.0
2020/6/26,30.125,0,1399.0
2020/6/27,34.75,0,1399.0
2020/6/28,34.5,0,1399.0
2020/6/29,30.5,0,1399.0
2020/6/30,35.375,0,1399.0
