DATE,TAVG,HDDi,HDDs
2020/7/1,34.625,0,0
2020/7/2,31.625,0,0
2020/7/3,29.5,0,0
2020/7/4,32.75,0,0
2020/7/5,31.125,0,0
2020/7/6,32.375,0,0
2020/7/7,34.25,0,0
2020/7/8,34.5,0,0
2020/7/9,25.875,0,0
2020/7/10,28.5,0,0
2020/7/11,29.75,0,0
2020/7/12,30.75,0,0
2020/7/13,30.75,0,0
2020/7/14,34.5,0,0
2020/7/15,36.25,0,0
2020/7/16,37.125,0,0
2020/7/17,31.5,0,0
2020/7/18,29.375,0,0
2020/7/19,32.125,0,0
2020/7/20,35.75,0,0
2020/7/21,35.375,0,0
2020/7/22,33.375,0,0
2020/7/23,34.875,0,0
2020/7/24,38.625,0,0
2020/7/25,37.25,0,0
2020/7/26,27.5,0,0
2020/7/27,28.25,0,0
2020/7/28,29.5,0,0
2020/7/29,33.25,0,0
2020/7/30,36.625,0,0
2020/7/31,32.125,0,0
2020/8/1,32.125,0,0
2020/8/2,34.25,0,0
2020/8/3,36.5,0,0
2020/8/4,37.25,0,0
2020/8/5,31.75,0,0
2020/8/6,34.875,0,0
2020/8/7,34.25,0,0
2020/8/8,33.875,0,0
2020/8/9,34.25,0,0
2020/8/10,34,0,0
2020/8/11,37.625,0,0
2020/8/12,31.375,0,0
2020/8/13,34.25,0,0
2020/8/14,37.5,0,0
2020/8/15,31.75,0,0
2020/8/16,31.75,0,0
2020/8/17,31.375,0,0
2020/8/18,28.375,0,0
2020/8/19,28.875,0,0
2020/8/20,28.25,0,0
2020/8/21,29.125,0,0
2020/8/22,29.625,0,0
2020/8/23,29.75,0,0
2020/8/24,32,0,0
2020/8/25,34.5,0,0
2020/8/26,32,0,0
2020/8/27,31.75,0,0
2020/8/28,32.75,0,0
2020/8/29,33,0,0
2020/8/30,32,0,0
2020/8/31,26.75,0,0
2020/9/1,30.5,0,0
2020/9/2,28.25,0,0
2020/9/3,25.75,0,0
2020/9/4,28.625,0,0
2020/9/5,29.75,0,0
2020/9/6,30.625,0,0
2020/9/7,30.875,0,0
2020/9/8,30.875,0,0
2020/9/9,30.5,0,0
2020/9/10,26.125,0,0
2020/9/11,28,0,0
2020/9/12,26.125,0,0
2020/9/13,29.125,0,0
2020/9/14,28.125,0,0
2020/9/15,23,0,0
2020/9/16,27.75,0,0
2020/9/17,24.375,0,0
2020/9/18,24.125,0,0
2020/9/19,25.75,0,0
2020/9/20,25.75,0,0
2020/9/21,25.5,0,0
2020/9/22,26.125,0,0
2020/9/23,21.5,0,0
2020/9/24,22.5,0,0
2020/9/25,23.5,0,0
2020/9/26,24,0,0
2020/9/27,24.625,0,0
2020/9/28,25.375,0,0
2020/9/29,18,0,0
2020/9/30,21.75,0,0
2020/10/1,19.625,0,0
2020/10/2,18,0,0
2020/10/3,19.875,0,0
2020/10/4,18,0,0
2020/10/5,14.875,3.125,3.125
2020/10/6,17.625,0.375,3.5
2020/10/7,16.375,1.625,5.125
2020/10/8,18.375,0,5.125
2020/10/9,18.375,0,5.125
2020/10/10,20.875,0,5.125
2020/10/11,16,2.0,7.125
2020/10/12,13.75,4.25,11.375
2020/10/13,18.625,0,11.375
2020/10/14,10.25,7.75,19.125
2020/10/15,16.875,1.125,20.25
2020/10/16,15,3.0,23.25
2020/10/17,15.125,2.875,26.125
2020/10/18,14.875,3.125,29.25
2020/10/19,15.75,2.25,31.5
2020/10/20,15.875,2.125,33.625
2020/10/21,11.125,6.875,40.5
2020/10/22,13.375,4.625,45.125
2020/10/23,12,6.0,51.125
2020/10/24,13.5,4.5,55.625
2020/10/25,14,4.0,59.625
2020/10/26,18.5,0,59.625
2020/10/27,11.5,6.5,66.125
2020/10/28,12.625,5.375,71.5
2020/10/29,9.75,8.25,79.75
2020/10/30,14.25,3.75,83.5
2020/10/31,16.625,1.375,84.875
2020/11/1,14.625,3.375,88.25
2020/11/2,7.625,10.375,98.625
2020/11/3,6,12.0,110.625
2020/11/4,6.625,11.375,122.0
2020/11/5,10.125,7.875,129.875
2020/11/6,13.5,4.5,134.375
2020/11/7,15.875,2.125,136.5
2020/11/8,9.75,8.25,144.75
2020/11/9,9.125,8.875,153.625
2020/11/10,9.125,8.875,162.5
2020/11/11,8.875,9.125,171.625
2020/11/12,13.25,4.75,176.375
2020/11/13,11,7.0,183.375
2020/11/14,9.125,8.875,192.25
2020/11/15,8,10.0,202.25
2020/11/16,12.875,5.125,207.375
2020/11/17,12.375,5.625,213.0
2020/11/18,9.875,8.125,221.125
2020/11/19,5.125,12.875,234.0
2020/11/20,3.625,14.375,248.375
2020/11/21,1.5,16.5,264.875
2020/11/22,1.125,16.875,281.75
2020/11/23,1.25,16.75,298.5
2020/11/24,0.5,17.5,316.0
2020/11/25,2.75,15.25,331.25
2020/11/26,-0.125,18.125,349.375
2020/11/27,1.5,16.5,365.875
2020/11/28,-3.75,21.75,387.625
2020/11/29,0.5,17.5,405.125
2020/11/30,-2.75,20.75,425.875
2020/12/1,-1.5,19.5,445.375
2020/12/2,-2,20.0,465.375
2020/12/3,-0.125,18.125,483.5
2020/12/4,-2.125,20.125,503.625
2020/12/5,-1.625,19.625,523.25
2020/12/6,-0.25,18.25,541.5
2020/12/7,-4.5,22.5,564.0
2020/12/8,-2.625,20.625,584.625
2020/12/9,-5.5,23.5,608.125
2020/12/10,0.375,17.625,625.75
2020/12/11,-1.625,19.625,645.375
2020/12/12,-0.875,18.875,664.25
2020/12/13,-8.625,26.625,690.875
2020/12/14,-8.875,26.875,717.75
2020/12/15,-6.625,24.625,742.375
2020/12/16,-5.375,23.375,765.75
2020/12/17,-5.125,23.125,788.875
2020/12/18,-8.25,26.25,815.125
2020/12/19,-6,24.0,839.125
2020/12/20,-4.75,22.75,861.875
2020/12/21,-4.5,22.5,884.375
2020/12/22,-1.875,19.875,904.25
2020/12/23,1.5,16.5,920.75
2020/12/24,-2.625,20.625,941.375
2020/12/25,-4.25,22.25,963.625
2020/12/26,-4.625,22.625,986.25
2020/12/27,-1.375,19.375,1005.625
2020/12/28,-4.125,22.125,1027.75
2020/12/29,-14.5,32.5,1060.25
2020/12/30,-11.375,29.375,1089.625
2020/12/31,-7.5,25.5,1115.125
