DATE,TAVG,HDDi,HDDs
2021/6/20,37,0,1390.25
2021/6/21,35.375,0,1390.25
2021/6/22,34.5,0,1390.25
2021/6/23,29.125,0,1390.25
2021/6/24,29.875,0,1390.25
2021/6/25,27.375,0,1390.25
2021/6/26,28.375,0,1390.25
2021/6/27,35.375,0,1390.25
2021/6/28,33.625,0,1390.25
2021/6/29,30.375,0,1390.25
2021/6/30,32,0,1390.25
