基线温度,起始日期,实际指数,预测指数,相对误差
18,2019.0101,1404.875,1307.086940411524,0.06960623513727271
18,2019.0701,1063.5,964.3117573974779,0.09326586046311436
18,2020.0101,1399,1299.7228269689622,0.07096295427522359
18,2020.0701,1115.125,1015.4417742109408,0.08939197470154392
18,2021.0101,1390.25,1291.4705756216529,0.07105155502848204
